"リリー","Lily"
"ライム","Lime"
"シィナ1",""
"ロメリア/アルス",""
"てかせ",""
"ベルーチェ","Velvet"
"剣",""
"チョコレ","Chocolat"
"<enemy:99>","<enemy:99>"
"MP_SET_MOVIE チョコレ立ち絵アニメ",""
"MP_SET_LOOP 20 on","MP_SET_LOOP 20 on"
"\n<チョコレ>やったぁ♥
また気持ちよくしてくれるんれすね♥
えへへへ♥",""
"\n<チョコレ>でも、私ばっかりイっちゃうのは不公平な気もします♥
そんなにガチガチに勃起させてるのに♥",""
"\n<チョコレ>\n[1]さんもそろそろ出したいんじゃないれすか？
次は負けさせてあげますね♥",""
"\n<チョコレ>あっ♥あっ♥あっ♥
やっぱり凄いれす・・・♥
はぁ・・・はぁ・・・♥",""
"\n<リリー>・・・？
こいつ・・・
イったのにあんまり効いてない・・・？",""
"\n<チョコレ>もっと気持ちいいのほしいれす♥
次の勝負しよ♥きてきて♥",""
"\n<チョコレ>痛ぁぁぁいっ！！",""
"\n<チョコレ>あうぅ・・・
ちょっと、いきなり何なんれすかぁ・・・
痛たたた・・・",""
"\n<ライム>あれ？
ダメージ食らってる・・・？",""
"\n<シィナ>お前・・・
淫魔じゃないにゃん！",""
"\n<チョコレ>あ・・・
バレてしまいました。",""
"\n<リリー>ってことは
律儀にイカせ合いに応じる必要ないじゃない！",""
"\n<シィナ>ボコれ！",""
"\n<ライム>騙してたのー？",""
"\n<ロメリア>騙されてた・・・",""
"\n<ライム>嘘つき！",""
"\n<ベルーチェ>チョコレが淫魔だなんて一言も言ってませんよ。",""
"\n<チョコレ>この羽と尻尾はあなた達の魔力で作ったものれす。
私は肉体改造が趣味なのれ。
人間れす。",""
"\n<チョコレ>凄く気持ちよかったれすよ♥
やっぱりハンターさんってえっちが上手なんれすねぇ♥
くひひひ♥",""
"\n<ベルーチェ>射精させて手籠めに出来ればよし。
一番被害の少ない方法で
\n[1]様を私達のものにするつもりでしたが・・・",""
"\n<ベルーチェ>こうなれば仕方ありませんね。
暴力は好きではないのですが・・・
うふふ♥",""
"\n<チョコレ>2体1れす。
力づくで\n[1]さんを倒しますね。",""
"\n<リリー>どこまでも卑劣なやつら・・・
\n[1]！これを使って！",""
"\n<リリー>負けるんじゃないわよ！",""
"\n<シィナ>やっちまえ！",""
"\n<ライム>\n[1]・・・頑張って・・・
（どきどき。）",""
"\n<ロメリア>剣持ったあにきは超強いよ。
今のうちに降参しといたら？",""
"EV010",""
